Date,SiteName,LocationName,WeekDay,TotalCount,Recording_ID
2015-03-16,York,Coney Street,Monday,20042,924615
2015-03-16,York,Micklegate,Monday,5059,NA
2015-03-16,York,Parliament Street at M&S,Monday,15782,243204
2015-03-16,York,Stonegate,Monday,11879,91226
2015-03-17,York,Church Street,Tuesday,1668,742583
2015-03-17,York,Coney Street,Tuesday,18887,666534
2015-03-17,York,Micklegate,Tuesday,5721,11928
2015-03-17,York,Parliament Street at M&S,Tuesday,19491,381576
2015-03-17,York,Stonegate,Tuesday,13114,813667
2015-03-18,York,Church Street,Wednesday,1894,178071
2015-03-18,York,Coney Street,Wednesday,20509,860266
2015-03-18,York,Micklegate,Wednesday,5645,954623
2015-03-18,York,Parliament Street at M&S,Wednesday,16845,502064
2015-03-18,York,Stonegate,Wednesday,12164,337675
2015-03-19,York,Church Street,Thursday,1742,473380
2015-03-19,York,Coney Street,Thursday,20523,253776
2015-03-19,York,Micklegate,Thursday,5943,833544
2015-03-19,York,Parliament Street at M&S,Thursday,19779,617921
2015-03-19,York,Stonegate,Thursday,12250,600760
2015-03-20,York,Church Street,Friday,2379,700114
2015-03-20,York,Coney Street,Friday,22930,12605
2015-03-20,York,Micklegate,Friday,7222,544450
2015-03-20,York,Parliament Street at M&S,Friday,26470,526358
2015-03-20,York,Stonegate,Friday,16144,454353
2015-03-21,York,Church Street,Saturday,2836,242883
2015-03-21,York,Coney Street,Saturday,36994,505332
2015-03-21,York,Micklegate,Saturday,9174,734455
2015-03-21,York,Parliament Street at M&S,Saturday,29863,713242
2015-03-21,York,Stonegate,Saturday,29055,239270
2015-03-22,York,Church Street,Sunday,1926,239981
2015-03-22,York,Coney Street,Sunday,20983,88387
2015-03-22,York,Micklegate,Sunday,5921,505752
2015-03-22,York,Parliament Street at M&S,Sunday,19632,612047
2015-03-22,York,Stonegate,Sunday,17103,759516
2015-03-23,York,Church Street,Monday,1815,608852
2015-03-23,York,Coney Street,Monday,20443,429927
2015-03-23,York,Micklegate,Monday,5533,352351
2015-03-23,York,Parliament Street at M&S,Monday,16839,114403
2015-03-23,York,Stonegate,Monday,12874,485603
2015-03-24,York,Church Street,Tuesday,3170,63492
2015-03-24,York,Coney Street,Tuesday,18255,490865
2015-03-24,York,Micklegate,Tuesday,5671,362372
2015-03-24,York,Parliament Street at M&S,Tuesday,17040,617822
2015-03-24,York,Stonegate,Tuesday,12144,862726
2015-03-25,York,Church Street,Wednesday,1982,155224
2015-03-25,York,Coney Street,Wednesday,20727,309088
2015-03-25,York,Micklegate,Wednesday,6024,278612
2015-03-25,York,Parliament Street at M&S,Wednesday,20331,561333
2015-03-25,York,Stonegate,Wednesday,14013,608720
2015-03-26,York,Church Street,Thursday,1900,515522
2015-03-26,York,Coney Street,Thursday,19111,485146
2015-03-26,York,Micklegate,Thursday,6091,903140
2015-03-26,York,Parliament Street at M&S,Thursday,17288,77762
2015-03-26,York,Stonegate,Thursday,12569,525934
2015-03-27,York,Church Street,Friday,3945,618583
2015-03-27,York,Coney Street,Friday,23772,588844
2015-03-27,York,Micklegate,Friday,8014,135080
2015-03-27,York,Parliament Street at M&S,Friday,22933,671240
2015-03-27,York,Stonegate,Friday,17379,755266
2015-03-28,York,Church Street,Saturday,4599,982203
2015-03-28,York,Coney Street,Saturday,35266,623269
2015-03-28,York,Micklegate,Saturday,9263,176088
2015-03-28,York,Parliament Street at M&S,Saturday,24778,179783
2015-03-28,York,Stonegate,Saturday,28666,888363
2015-03-29,York,Church Street,Sunday,2074,414328
2015-03-29,York,Coney Street,Sunday,17237,887462
2015-03-29,York,Micklegate,Sunday,5185,877957
2015-03-29,York,Parliament Street at M&S,Sunday,11722,146156
2015-03-29,York,Stonegate,Sunday,16624,3569
2015-04-01,York,Church Street,Wednesday,3892,634066
2015-04-01,York,Coney Street,Wednesday,25062,979020
2015-04-01,York,Micklegate,Wednesday,6211,704973
2015-04-01,York,Parliament Street at M&S,Wednesday,20771,502176
2015-04-01,York,Stonegate,Wednesday,16279,28462
2015-04-02,York,Church Street,Thursday,3718,282890
2015-04-02,York,Coney Street,Thursday,27869,805358
2015-04-02,York,Micklegate,Thursday,7903,471610
2015-04-02,York,Parliament Street at M&S,Thursday,33167,538825
2015-04-02,York,Stonegate,Thursday,18400,19600
2015-04-03,York,Church Street,Friday,3833,589919
2015-04-03,York,Coney Street,Friday,27184,521604
2015-04-03,York,Micklegate,Friday,7730,615508
2015-04-03,York,Parliament Street at M&S,Friday,32427,107683
2015-04-03,York,Stonegate,Friday,26603,35125
2015-04-04,York,Church Street,Saturday,4959,792655
2015-04-04,York,Coney Street,Saturday,42085,566953
2015-04-04,York,Micklegate,Saturday,9890,280478
2015-04-04,York,Parliament Street at M&S,Saturday,47120,681186
2015-04-04,York,Stonegate,Saturday,33842,859130
2015-04-05,York,Church Street,Sunday,3225,651600
2015-04-05,York,Coney Street,Sunday,21243,327863
2015-04-05,York,Micklegate,Sunday,7160,711170
